Key;Value DK;Value ENG
language;Danish;English
selectALanguage;Vælg Sprog;Select a language
hiPlayer;Hej Spiller;Hi Player
playerScore;Din score er: ;Your score is: 
StartActionText;Du er landet på start.;You landed on start.
ActionTextFieldNo5;Betal indkomst SKAT: 4000 kr.;Pay income taxes: 4000 kr.
ActionTextFieldNo39;Ekstraordinær statsSKAT: 2000 kr.;Extra country taxes: 2000 kr.
VisitinPrison;Du er på besøg i fængslet.;You are visiting the prison.
SentToPrison;Du er landet på fængslet og du bliver sendt direkte i fængselt, felt 11;You landed on the prison and are sent in prison, field 11.
ParkingActionText;Du var heldig at finde en gratis parkringsplads.;You were lucky to find a free parking spot.
